barcode,Group_1,Group_2,Group_3,Group_4
MCZ-ENT00068296,Lycaenidae,,,All
MCZ-ENT00069063,Lycaenidae,,,All
MCZ-ENT00086787,Lycaenidae,,,All
MCZ-ENT00086886,Lycaenidae,,,All
MCZ-ENT00103895,,NymPap,,All
MCZ-ENT00113098,,,Heliconius,All
MCZ-ENT00116621,,,Heliconius,All
MCZ-ENT00134839,,NymPap,,All
MCZ-ENT00173775,,NymPap,,All
MCZ-ENT00183049,,NymPap,,All
MCZ-ENT00185721,Lycaenidae,,,All
MCZ-ENT00185723,Lycaenidae,,,All
MCZ-ENT00193718,Lycaenidae,,,All
MCZ-ENT00212762,,NymPap,,All
MCZ-ENT00733306,,,,All
MCZ-ENT00753857,,,,All
MGCL-295034,,,,All
